model_arch,encoder,loss_type,data_augmentation,lr,weight_decay,train_loss,iou_score,dice_score
pspnet,resnet34,cross_entropy,False,0.0001,0.0,0.09109470188617706,0.8072891235351562,0.8775129914283752
pspnet,resnet34,cross_entropy,False,0.0001,0.001,0.09322652965784073,0.7948571443557739,0.8678380846977234
manet,resnet34,cross_entropy,False,0.0001,0.0,0.08174417942762374,0.8356277942657471,0.8979190587997437
manet,resnet34,cross_entropy,False,0.0001,0.001,0.10304192423820496,0.8536760210990906,0.9090936183929443
unet,efficientnet-b0,dice,False,0.01,0.0,0.06715069770812988,0.7197929620742798,0.8214660882949829
unet,efficientnet-b0,dice,False,0.01,0.001,0.12757774591445922,0.34006959199905396,0.3978302776813507
deeplabv3plus,efficientnet-b0,dice,False,0.01,0.0,0.051860306262969974,0.7390763759613037,0.8349306583404541
deeplabv3plus,efficientnet-b0,dice,False,0.01,0.001,0.14420011281967163,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,False,0.01,0.0,0.18579036474227906,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,False,0.01,0.001,0.1855190324783325,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,dice,False,0.01,0.0,0.06075439691543579,0.7361623644828796,0.8290325999259949
manet,efficientnet-b0,dice,False,0.01,0.001,0.18634666681289672,0.34006959199905396,0.3978302776813507
unet,efficientnet-b0,cross_entropy,False,0.01,0.0,0.12511493474245072,0.7723848819732666,0.8564009070396423
unet,efficientnet-b0,cross_entropy,False,0.01,0.001,0.3505555129051208,0.34006959199905396,0.3978302776813507
deeplabv3plus,efficientnet-b0,cross_entropy,False,0.01,0.0,0.16090960592031478,0.7300074100494385,0.8246090412139893
deeplabv3plus,efficientnet-b0,cross_entropy,False,0.01,0.001,0.3630657684803009,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,cross_entropy,False,0.01,0.0,0.15562475174665452,0.7486221790313721,0.841092050075531
pspnet,efficientnet-b0,cross_entropy,False,0.01,0.001,0.26560250043869016,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,cross_entropy,False,0.01,0.0,0.15011734813451766,0.7170153856277466,0.8140999674797058
manet,efficientnet-b0,cross_entropy,False,0.01,0.001,0.34175678372383117,0.34011605381965637,0.397940993309021
unet,efficientnet-b0,dice,False,0.001,0.0,0.024649596214294432,0.8428936004638672,0.9027600288391113
unet,efficientnet-b0,dice,False,0.001,0.001,0.048139264583587645,0.3406085968017578,0.39876845479011536
deeplabv3plus,efficientnet-b0,dice,False,0.001,0.0,0.02982635498046875,0.8307737708091736,0.893625020980835
deeplabv3plus,efficientnet-b0,dice,False,0.001,0.001,0.052711427211761475,0.3428283631801605,0.4028526544570923
pspnet,efficientnet-b0,dice,False,0.001,0.0,0.18572843790054322,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,False,0.001,0.001,0.18533827543258666,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,dice,False,0.001,0.0,0.031522538661956784,0.8489672541618347,0.9037420153617859
manet,efficientnet-b0,dice,False,0.001,0.001,0.05082780838012695,0.34006959199905396,0.3978302776813507
unet,efficientnet-b0,cross_entropy,False,0.001,0.0,0.08618231803178787,0.8435773849487305,0.9046849012374878
unet,efficientnet-b0,cross_entropy,False,0.001,0.001,0.13055554926395416,0.34006959199905396,0.3978302776813507
deeplabv3plus,efficientnet-b0,cross_entropy,False,0.001,0.0,0.0846586298942566,0.8594658374786377,0.9128230214118958
deeplabv3plus,efficientnet-b0,cross_entropy,False,0.001,0.001,0.12040238469839096,0.34009623527526855,0.3979254961013794
pspnet,efficientnet-b0,cross_entropy,False,0.001,0.0,0.14255621582269667,0.7630032300949097,0.8470851182937622
pspnet,efficientnet-b0,cross_entropy,False,0.001,0.001,0.13414564609527588,0.5715206861495972,0.6548631191253662
manet,efficientnet-b0,cross_entropy,False,0.001,0.0,0.08135421857237816,0.7992549538612366,0.8704551458358765
manet,efficientnet-b0,cross_entropy,False,0.001,0.001,0.1241642963886261,0.34086185693740845,0.39840278029441833
unet,efficientnet-b0,dice,False,0.0001,0.0,0.049975314140319825,0.8516124486923218,0.9020988345146179
unet,efficientnet-b0,dice,False,0.0001,0.001,0.062440335750579834,0.780897855758667,0.8564412593841553
deeplabv3plus,efficientnet-b0,dice,False,0.0001,0.0,0.07472113132476807,0.7725119590759277,0.8359623551368713
deeplabv3plus,efficientnet-b0,dice,False,0.0001,0.001,0.08026129484176636,0.6560778021812439,0.7389880418777466
pspnet,efficientnet-b0,dice,False,0.0001,0.0,0.18559540748596193,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,False,0.0001,0.001,0.18571397066116332,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,dice,False,0.0001,0.0,0.060566751956939696,0.8183419108390808,0.8847628831863403
manet,efficientnet-b0,dice,False,0.0001,0.001,0.06400414705276489,0.7837704420089722,0.8593361377716064
unet,efficientnet-b0,cross_entropy,False,0.0001,0.0,0.10006593614816665,0.8607804775238037,0.912580132484436
unet,efficientnet-b0,cross_entropy,False,0.0001,0.001,0.1011037227511406,0.8390518426895142,0.8990488648414612
deeplabv3plus,efficientnet-b0,cross_entropy,False,0.0001,0.0,0.16849661469459534,0.785646915435791,0.8526526093482971
deeplabv3plus,efficientnet-b0,cross_entropy,False,0.0001,0.001,0.16690548717975617,0.7507908344268799,0.8272274136543274
pspnet,efficientnet-b0,cross_entropy,False,0.0001,0.0,0.26682711601257325,0.7712676525115967,0.8526008725166321
pspnet,efficientnet-b0,cross_entropy,False,0.0001,0.001,0.2825358772277832,0.751883864402771,0.8402288556098938
manet,efficientnet-b0,cross_entropy,False,0.0001,0.0,0.10599377512931824,0.8290367126464844,0.8898711204528809
manet,efficientnet-b0,cross_entropy,False,0.0001,0.001,0.10138162612915039,0.8224048614501953,0.8887372016906738
